source_file,sheet,reason,raw_label
Field_Crop_Supply_Balance.xlsx,19.1.1.22.,Nem azonosított kategória,within agriculture | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | –
Field_Crop_Supply_Balance.xlsx,19.1.1.22.,Nem azonosított kategória,Intermediate consumption | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | –
Field_Crop_Supply_Balance.xlsx,19.1.1.22.,Nem azonosított kategória,Loss | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | –
Field_Crop_Supply_Balance.xlsx,19.1.1.22.,Nem azonosított kategória,"Consolidated balance sheet, tons"
Field_Crop_Supply_Balance.xlsx,19.1.1.22.,Nem azonosított kategória,Initial stock | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | –
Field_Crop_Supply_Balance.xlsx,19.1.1.22.,Nem azonosított kategória,Total resource | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | –
Field_Crop_Supply_Balance.xlsx,19.1.1.22.,Nem azonosított kategória,Personal consumption | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | –
Field_Crop_Supply_Balance.xlsx,19.1.1.22.,Nem azonosított kategória,Industrial processing | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | –
Field_Crop_Supply_Balance.xlsx,19.1.1.22.,Nem azonosított kategória,Feed consumption | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | –
Field_Crop_Supply_Balance.xlsx,19.1.1.22.,Nem azonosított kategória,Loss | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | – | –
Field_Crop_Supply_Balance.xlsx,19.1.1.22.,Nem azonosított kategória,Of which:
Field_Crop_Supply_Balance.xlsx,19.1.1.22.,Nem azonosított kategória,External trade
Field_Crop_Supply_Balance.xlsx,19.1.1.22.,Nem azonosított kategória,tonne | – | – | – | –
Field_Crop_Supply_Balance.xlsx,19.1.1.22.,Nem azonosított kategória,million HUF | – | – | – | –
Field_Crop_Supply_Balance.xlsx,19.1.1.22.,Nem azonosított kategória,tonne | – | – | – | –
Field_Crop_Supply_Balance.xlsx,19.1.1.22.,Nem azonosított kategória,million HUF | – | – | – | –
Field_Crop_Supply_Balance.xlsx,Informations,Nem talált év oszlopokat,
